,,,,,,,Date :01/07/2025

Test Setup
,,,,,DUT Information

Operator ID :,,BIO,,,Equipment Number :,,DESFIB-001
Calibration Tech :,,50955,,,Serial Number :,,109CI27
Calibration Date :,,06/08/2021,,,Manufacturer :,,DYNE
Firmware Version :,,3.01.03,,,Model :,,UCP-210-RM
Serial Number :,,5453505,,,Location :,,TOMOGRAFIA-SLL
Date & Time :,,2025/07/01 & 13:08,,,Other :,,
JOB Name :,,


Template Information

Template Name :,,DESFIB-I-noPE,,,Standard :,,IEC62353-Direct
Pause after Power ON:,,NO,,,Pause before Power OFF:,,NO
Power ON delay:,,2,,,Power OFF delay:,,0
Test Speed:,,NORMAL,,,Test Mode:,,AUTO
Halt on Test Failure:,,YES,,,Multi PE Test:,,NO
Include Time:,,YES,,,Multi Resstore:,,WORST/LAST
Insulation Resistance Voltage:,,500V,,,Reverse Polarity:,,YES
Multi Enclosure Test :,,NO,,,Classification:,,I no PE



PLC Configuration-Applied part setup

AP Name,AP Type,AP Num

ECG,CF,1
PALA-APEX,BF,1
PALA-ESTERNON,BF,1

ESA615 Test Results

Test Name,,,,,Value,High Limits,Low Limits,Status

Insulation Resistance,,,,,,,,P
,Mains to Applied Parts,,,, 999 MOhm,-,-,P
Mains Voltage,,,,,,,,P
,Live to Neutral,,,, 223.1 V,-,-,P
Equipment Current,,,,, 0.2 A,-,-,P
Direct Applied Part Leakage,,,,,,,,P
,Normal Condition,,,,,,,P
,,ECG,,, 12.6 uAAC,50,-,P
,,PALA-APEX,,, 12.5 uAAC,5000,-,P
,,PALA-ESTERNON,,, 12.4 uAAC,5000,-,P
,Normal Condition- Reversed Mains,,,,,,,P
,,ECG,,, 12.9 uAAC,50,-,P
,,PALA-APEX,,, 12.9 uAAC,5000,-,P
,,PALA-ESTERNON,,, 12.8 uAAC,5000,-,P
Direct Equipment Leakage,,,,,,,,P
,Open Earth,,,, 3.0 uA,500,-,P
,Open Earth- Reversed Mains,,,, 3.1 uA,500,-,P





 ,,,,,,, _________ 
 ,,,,,,,Signature
